[2023-11-26 00:36:04][DEBUG] test
[2023-11-26 00:36:06][DEBUG] test
[2023-12-06 08:33:10][DEBUG] Je suis dans Home, méthode home
[2023-12-06 08:34:03][WARN ] Je suis dans Home, méthode home
[2023-12-06 08:34:09][ERROR] Je suis dans Home, méthode home
[2023-12-06 08:49:42][ERROR] Je suis dans Home, méthode home
[2023-12-06 15:16:03][ERROR] Je suis dans Home, méthode home
[2023-12-06 15:16:35][ERROR] Je suis dans Home, méthode home
[2023-12-06 15:35:02][ERROR] Je suis dans Home, méthode home
[2023-12-06 15:43:17][ERROR] Je suis dans Home, méthode home
[2023-12-06 15:43:31][ERROR] Je suis dans Home, méthode home
[2023-12-06 15:44:27][ERROR] Je suis dans Home, méthode home
[2023-12-06 15:44:28][ERROR] Je suis dans Home, méthode home
[2023-12-06 15:44:37][ERROR] Je suis dans Home, méthode home
[2023-12-06 15:45:55][ERROR] Je suis dans Home, méthode home
[2023-12-06 18:19:48][ERROR] Je suis dans Home, méthode home
[2023-12-06 18:20:04][ERROR] Je suis dans Home, méthode home
[2023-12-06 18:20:23][ERROR] Je suis dans Home, méthode home
[2023-12-06 18:20:24][ERROR] Je suis dans Home, méthode home
